Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1836,51858,Tibério,"Costa da Mina, place unspecified","Bahia, place unspecified",490,444,,33,19
1836,900142,Maria,Benguela,Rio de Janeiro,490,444,,,
1836,900143,Sociedade,Benguela,Rio de Janeiro,490,444,,,
1837,900144,Boa Viagem,São Tomé or Princes Island,"Bahia, place unspecified",257,242,,,
1837,900145,Doze de Novembro,"Africa, port unspecified",Rio de Janeiro,118,105,,,
1837,900146,Mariana,Benguela,Rio de Janeiro,307,277,,,
1837,900147,Saudade,Benguela,Rio de Janeiro,449,421,,,
1837,900148,Treze de Junho,Benguela,Rio de Janeiro,257,242,,,
1837,900149,Treze de Junho,Benguela,Rio de Janeiro,257,242,,,
1838,900150,Bela Figueirense,"Africa, port unspecified","Bahia, place unspecified",490,444,,,
1838,900151,Mariana,Benguela,Rio de Janeiro,307,277,,,
1838,900152,Nereida,"West Central Africa and St. Helena, port unspecified",Rio de Janeiro,490,444,,,
1839,900153,D João de Castro,Mozambique,Ilha de Marambaia,490,444,,,
1839,900155,Josefa,Benguela,Rio de Janeiro,376,335,,,
1839,900158,Minerva,Benguela,Rio de Janeiro,257,242,,,
1839,900159,Nereida,Mozambique,Rio de Janeiro,514,421,,,
1839,900160,Onze de Março,"West Central Africa and St. Helena, port unspecified",,490,444,,,
1839,900161,Paquete de Luanda,"West Central Africa and St. Helena, port unspecified",,490,444,,,
1839,900163,Socorro (a) D Maria Segunda,Mozambique,"Cuba, port unspecified",514,421,,,
1839,900164,Veloz,Mozambique,Rio de Janeiro,514,421,,,
